timestamp,elapsed_s,arm,tps,tokens_predicted_total,temp_c,violation_flag,kernel_freq_mhz,throttle_bits
1773995435.734,0.000,B0,0.0000,0,62.8,0,1800,0
1773995436.734,1.000,B0,0.0000,0,64.3,0,1800,0
1773995437.734,2.000,B0,0.0000,0,65.7,0,1800,0
1773995438.734,3.000,B0,0.0000,0,67.2,0,1800,0
1773995439.734,4.001,B0,0.0000,0,68.7,0,1800,0
1773995440.735,5.001,B0,0.0000,0,68.2,0,1800,0
1773995441.735,6.001,B0,0.0000,0,70.1,0,1800,0
1773995442.735,7.001,B0,0.0000,0,69.6,0,1800,0
1773995443.735,8.001,B0,0.0000,0,70.6,0,1800,0
1773995444.735,9.002,B0,0.0000,0,71.1,0,1800,0
1773995445.736,10.002,B0,0.0000,0,72.1,0,1800,0
1773995446.736,11.002,B0,0.0000,0,71.6,0,1800,0
1773995447.736,12.002,B0,0.0000,0,71.6,0,1800,0
1773995448.736,13.002,B0,0.0000,0,73.5,0,1800,0
1773995449.736,14.002,B0,0.0000,0,72.5,0,1800,0
1773995450.736,15.003,B0,0.0000,0,72.1,0,1800,0
1773995451.740,16.006,B0,0.0000,0,73.5,0,1800,0
1773995452.740,17.007,B0,0.0000,0,73.0,0,1800,0
1773995453.741,18.007,B0,0.0000,0,73.5,0,1800,0
1773995454.741,19.007,B0,0.0000,0,75.0,0,1800,0
1773995455.741,20.007,B0,0.0000,0,74.0,0,1800,0
1773995456.742,21.008,B0,0.0000,0,74.0,0,1800,0
1773995457.744,22.010,B0,0.0000,0,75.0,0,1800,0
1773995458.744,23.011,B0,0.0000,0,75.0,0,1800,0
1773995459.745,24.011,B0,0.0000,0,74.5,0,1800,0
1773995460.748,25.014,B0,0.0000,0,75.5,0,1800,0
1773995461.752,26.018,B0,0.0000,0,76.0,0,1800,0
1773995462.752,27.019,B0,0.0000,0,75.5,0,1800,0
1773995463.756,28.022,B0,156.4029,150,75.0,0,1800,0
1773995464.756,29.023,B0,0.0000,150,74.5,0,1800,0
1773995465.757,30.023,B0,0.0000,150,76.0,0,1800,0
1773995466.757,31.023,B0,0.0000,150,76.0,0,1800,0
1773995467.757,32.023,B0,0.0000,150,75.5,0,1800,0
1773995468.757,33.023,B0,0.0000,150,76.9,0,1800,0
1773995469.757,34.023,B0,0.0000,150,76.0,0,1800,0
1773995470.760,35.026,B0,0.0000,150,76.0,0,1800,0
1773995471.760,36.027,B0,0.0000,150,76.4,0,1800,0
1773995472.761,37.027,B0,0.0000,150,76.4,0,1800,0
1773995473.761,38.028,B0,0.0000,150,76.4,0,1800,0
1773995474.764,39.030,B0,0.0000,150,77.4,0,1800,0
1773995475.764,40.031,B0,0.0000,150,77.4,0,1800,0
1773995476.765,41.031,B0,0.0000,150,76.9,0,1800,0
1773995477.765,42.031,B0,0.0000,150,76.0,0,1800,0
1773995478.765,43.031,B0,0.0000,150,76.9,0,1800,0
1773995479.765,44.031,B0,76.5413,237,76.9,0,1800,0
1773995480.765,45.032,B0,0.0000,237,77.4,0,1800,0
1773995481.766,46.032,B0,0.0000,237,77.9,0,1800,0
1773995482.768,47.034,B0,0.0000,237,76.9,0,1800,0
1773995483.772,48.038,B0,22.0447,258,77.9,0,1800,0
1773995484.772,49.039,B0,0.0000,258,77.9,0,1800,0
1773995485.776,50.042,B0,0.0000,258,78.4,0,1800,0
1773995486.776,51.043,B0,0.0000,258,77.9,0,1800,0
1773995487.780,52.046,B0,0.0000,258,78.4,0,1800,0
1773995488.780,53.047,B0,0.0000,258,77.9,0,1800,0
1773995489.781,54.047,B0,0.0000,258,78.4,0,1800,0
1773995490.782,55.048,B0,0.0000,258,77.4,0,1800,0
1773995491.782,56.048,B0,0.0000,258,78.4,0,1800,0
1773995492.784,57.050,B0,0.0000,258,77.4,0,1800,0
1773995493.788,58.054,B0,0.0000,258,78.4,0,1800,0
1773995494.788,59.055,B0,0.0000,258,78.9,0,1800,0
1773995495.789,60.055,B0,0.0000,258,78.9,0,1800,0
1773995496.789,61.055,B0,0.0000,258,78.9,0,1800,0
1773995497.789,62.055,B0,0.0000,258,79.4,0,1800,0
1773995498.789,63.055,B0,0.0000,258,79.4,0,1800,0
1773995499.789,64.055,B0,0.0000,258,78.9,0,1800,0
1773995500.792,65.058,B0,0.0000,258,78.4,0,1800,0
1773995501.796,66.062,B0,0.0000,258,78.9,0,1800,0
1773995502.796,67.063,B0,0.0000,258,79.4,0,1800,0
1773995503.797,68.063,B0,0.0000,258,78.9,0,1800,0
1773995504.797,69.063,B0,0.0000,258,79.4,0,1800,0
1773995505.797,70.063,B0,0.0000,258,78.9,0,1800,0
1773995506.797,71.063,B0,0.0000,258,80.3,1,1800,0
1773995507.800,72.066,B0,0.0000,258,79.4,0,1800,0
1773995508.800,73.067,B0,0.0000,258,78.9,0,1800,0
1773995509.804,74.070,B0,0.0000,258,80.3,1,1800,0
1773995510.808,75.074,B0,0.0000,258,79.9,0,1800,0
1773995511.808,76.075,B0,155.0876,408,78.9,0,1800,0
1773995512.809,77.075,B0,0.0000,408,80.3,1,1800,0
1773995513.809,78.075,B0,0.0000,408,80.3,1,1800,0
1773995514.809,79.075,B0,0.0000,408,79.9,0,1800,0
1773995515.809,80.075,B0,0.0000,408,79.9,0,1800,0
1773995516.809,81.075,B0,0.0000,408,80.8,1,1800,0
