timestamp,elapsed_s,arm,tps, ,temp_c,violation_flag,kernel_freq_mhz,actual_freq_mhz,throttle_bits
1774007821,91.192,B3,0,339,79.4,0,1200,1200,0
1774007822,92.192,B3,0,339,78.9,0,1200,1200,0
1774007823,93.192,B3,0,339,79.4,0,1200,1200,0
1774007824,94.192,B3,0,339,78.9,0,1200,1200,0
1774007825,95.192,B3,0,339,78.9,0,1200,1200,0
1774007826,96.193,B3,0,339,79.4,0,1200,1200,0
1774007827,97.193,B3,0,339,79.9,0,1200,1200,0
1774007828,98.197,B3,0,339,78.9,0,1200,1200,0
1774007829,99.201,B3,0,339,79.4,0,1200,1200,0
1774007830,100.205,B3,145.0379,489,79.4,0,1200,1200,0
1774007831,101.206,B3,0,489,79.4,0,1200,1200,0
1774007832,102.206,B3,0,489,79.9,0,1200,1200,0
1774007833,103.206,B3,0,489,77.9,0,1200,1200,0
1774007834,104.206,B3,0,489,79.4,0,1200,1200,0
1774007835,105.206,B3,0,489,78.9,0,1200,1200,0
1774007836,106.209,B3,0,489,79.4,0,1200,1200,0
1774007837,107.213,B3,0,489,79.9,0,1200,1200,0
1774007838,108.214,B3,0,489,79.4,0,1200,1200,0
1774007839,109.217,B3,0,489,79.4,0,1200,1200,0
1774007840,110.221,B3,0,489,79.9,0,1200,1200,0
1774007841,111.225,B3,0,489,79.4,0,1200,1200,0
1774007842,112.229,B3,0,489,79.9,0,1200,1200,0
1774007843,113.231,B3,0,489,79.9,0,1200,1200,0
1774007844,114.231,B3,0,489,80.3,1,1200,1200,0
1774007845,115.231,B3,0,489,79.9,0,1200,1200,0
1774007846,116.231,B3,0,489,80.3,1,1200,1200,0
1774007847,117.232,B3,0,489,78.9,0,1200,1200,0
1774007848,118.232,B3,0,489,79.4,0,1200,1200,0
1774007849,119.232,B3,0,489,79.9,0,1200,1200,0
1774007850,120.232,B3,0,489,79.9,0,1200,1200,0
1774007851,121.232,B3,0,489,80.3,1,1200,1200,0
1774007852,122.232,B3,0,489,80.8,1,1200,1200,0
1774007853,123.233,B3,0,489,81.3,1,1200,1200,0
1774007854,124.233,B3,0,489,78.9,0,1200,1200,0
1774007855,125.233,B3,0,489,79.9,0,1200,1200,0
1774007856,126.237,B3,0,489,79.4,0,1200,1200,0
1774007857,127.237,B3,0,489,79.9,0,1200,1200,0
1774007858,128.241,B3,0,489,79.4,0,1200,1200,0
1774007859,129.245,B3,168.6045,633,79.9,0,1200,1200,0
1774007860,130.245,B3,0,633,80.3,1,1200,1200,0
1774007861,131.249,B3,0,633,80.3,1,1200,1200,0
1774007862,132.252,B3,0,633,80.3,1,1200,1200,0
1774007863,133.252,B3,0,633,79.9,0,1200,1200,0
1774007864,134.253,B3,0,633,79.4,0,1200,1200,0
1774007865,135.253,B3,0,633,80.3,1,1200,1200,0
1774007866,136.257,B3,0,633,81.8,1,1200,1200,0
1774007867,137.261,B3,0,633,81.3,1,1200,1200,0
