Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,8971600,5981092,0,0,0.667,0.667,0.000,0.000,55.0,600,602,0
10,8769352,5846248,0,0,0.667,0.667,0.000,0.000,54.0,600,592,0
20,8926784,5951240,0,0,0.667,0.667,0.000,0.000,54.0,600,602,0
30,8980126,5986758,0,0,0.667,0.667,0.000,0.000,54.0,600,602,0
40,8867288,5911554,0,0,0.667,0.667,0.000,0.000,54.0,600,602,0
50,8961430,5974316,0,0,0.667,0.667,0.000,0.000,55.5,600,602,0
60,8977724,5985178,0,0,0.667,0.667,0.000,0.000,55.5,600,603,0
70,8970754,5980545,0,0,0.667,0.667,0.000,0.000,54.5,600,602,0
80,8990558,5993734,0,0,0.667,0.667,0.000,0.000,54.5,600,603,0
90,8984008,5989368,0,0,0.667,0.667,0.000,0.000,55.5,600,602,0
100,8982254,5988198,0,0,0.667,0.667,0.000,0.000,55.5,600,602,0
110,8987800,5991896,0,0,0.667,0.667,0.000,0.000,55.0,600,603,0
120,8995700,5997162,0,0,0.667,0.667,0.000,0.000,55.0,600,603,0
130,8988394,5992292,0,0,0.667,0.667,0.000,0.000,54.0,600,602,0
140,8985626,5990468,0,0,0.667,0.667,0.000,0.000,54.0,600,602,0
150,8996038,5997381,0,0,0.667,0.667,0.000,0.000,55.0,600,603,0
160,8760254,5840220,0,0,0.667,0.667,0.000,0.000,55.0,600,592,0
170,8991022,5994022,0,0,0.667,0.667,0.000,0.000,53.6,600,602,0
180,8981222,5987532,0,0,0.667,0.667,0.000,0.000,53.6,600,603,0
190,8901568,5934370,0,0,0.667,0.667,0.000,0.000,53.6,600,603,0
200,8800916,5867386,0,0,0.667,0.667,0.000,0.000,54.0,600,595,0
210,8985766,5990518,0,0,0.667,0.667,0.000,0.000,54.0,600,602,0
220,8952800,5968606,0,0,0.667,0.667,0.000,0.000,53.6,600,602,0
230,12447496,8298448,0,0,0.667,0.667,0.000,0.000,53.6,600,837,0
240,8990470,5993662,0,0,0.667,0.667,0.000,0.000,55.0,600,602,0
250,8987816,5991928,0,0,0.667,0.667,0.000,0.000,55.0,600,603,0
260,8997664,5998450,0,0,0.667,0.667,0.000,0.000,55.0,600,603,0
270,8984378,5989636,0,0,0.667,0.667,0.000,0.000,55.0,600,602,0
280,8997766,5998518,0,0,0.667,0.667,0.000,0.000,55.0,600,603,0
290,8985722,5990532,0,0,0.667,0.667,0.000,0.000,55.0,600,603,0
300,8998726,5999158,0,0,0.667,0.667,0.000,0.000,54.0,600,603,0
310,8986034,5990740,0,0,0.667,0.667,0.000,0.000,54.0,600,602,0
320,8997778,5998526,0,0,0.667,0.667,0.000,0.000,55.5,600,603,0
330,9000440,6000322,0,0,0.667,0.667,0.000,0.000,55.5,600,603,0
340,8976220,5984176,0,0,0.667,0.667,0.000,0.000,54.0,600,603,0
350,8997560,5998408,0,0,0.667,0.667,0.000,0.000,54.0,600,603,0
360,8986504,5991032,0,0,0.667,0.667,0.000,0.000,54.5,600,602,0
370,8995652,5997130,0,0,0.667,0.667,0.000,0.000,54.5,600,603,0
380,8988964,5992672,0,0,0.667,0.667,0.000,0.000,54.5,600,603,0
390,8998040,5998722,0,0,0.667,0.667,0.000,0.000,55.5,600,603,0
400,8986390,5990956,0,0,0.667,0.667,0.000,0.000,55.5,600,602,0
410,8997728,5998514,0,0,0.667,0.667,0.000,0.000,55.5,600,603,0
420,8989132,5992784,0,0,0.667,0.667,0.000,0.000,55.5,600,603,0
430,8989394,5992980,0,0,0.667,0.667,0.000,0.000,54.0,600,602,0
440,8998336,5998898,0,0,0.667,0.667,0.000,0.000,54.0,600,603,0
450,8416976,5611390,0,0,0.667,0.667,0.000,0.000,55.0,600,577,0
460,8968990,5979328,0,0,0.667,0.667,0.000,0.000,55.0,600,602,0
470,8967308,5978256,0,0,0.667,0.667,0.000,0.000,55.0,600,602,0
480,8959276,5972924,0,0,0.667,0.667,0.000,0.000,55.0,600,603,0
490,11302178,7534858,0,0,0.667,0.667,0.000,0.000,54.5,600,758,0
500,8857882,5905284,0,0,0.667,0.667,0.000,0.000,54.5,600,595,0
510,8986250,5990887,0,0,0.667,0.667,0.000,0.000,54.0,600,602,0
520,8996356,5997578,0,0,0.667,0.667,0.000,0.000,54.0,600,603,0
530,8989322,5992932,0,0,0.667,0.667,0.000,0.000,54.5,600,602,0
540,8995510,5997014,0,0,0.667,0.667,0.000,0.000,54.5,600,603,0
550,8468690,5645888,0,0,0.667,0.667,0.000,0.000,54.5,600,579,0
560,8985208,5990154,0,0,0.667,0.667,0.000,0.000,54.0,600,603,0
570,8986484,5991040,0,0,0.667,0.667,0.000,0.000,54.0,600,603,0
580,8949274,5966256,0,0,0.667,0.667,0.000,0.000,55.0,600,603,0
590,8921612,5947770,0,0,0.667,0.667,0.000,0.000,55.0,600,599,0
600,8988544,5992392,0,0,0.667,0.667,0.000,0.000,55.0,600,602,0
610,8998532,5999063,0,0,0.667,0.667,0.000,0.000,55.0,600,603,0
620,8986414,5990972,0,0,0.667,0.667,0.000,0.000,55.0,600,602,0
630,8994566,5996406,0,0,0.667,0.667,0.000,0.000,55.0,600,602,0
640,8987500,5991696,0,0,0.667,0.667,0.000,0.000,55.5,600,603,0
