Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,9790006,3263331,0,0,0.333,0.333,0.000,0.000,52.1,600,602,0
10,9726194,3242079,0,0,0.333,0.333,0.000,0.000,50.6,600,602,0
20,9774316,3258118,0,0,0.333,0.333,0.000,0.000,51.1,600,602,0
30,9730196,3243413,0,0,0.333,0.333,0.000,0.000,51.1,600,602,0
40,9775366,3258463,0,0,0.333,0.333,0.000,0.000,51.1,600,602,0
50,9780280,3260106,0,0,0.333,0.333,0.000,0.000,51.1,600,602,0
60,9794432,3264825,0,0,0.333,0.333,0.000,0.000,51.1,600,603,0
70,9543364,3181140,0,0,0.333,0.333,0.000,0.000,51.1,600,592,0
80,9792208,3264077,0,0,0.333,0.333,0.000,0.000,50.6,600,603,0
90,9797180,3265758,0,0,0.333,0.333,0.000,0.000,50.6,600,602,0
100,9799180,3266405,0,0,0.333,0.333,0.000,0.000,51.6,600,603,0
110,9798872,3266322,0,0,0.333,0.333,0.000,0.000,51.6,600,602,0
120,9813988,3271339,0,0,0.333,0.333,0.000,0.000,51.1,600,603,0
130,9787942,3262660,0,0,0.333,0.333,0.000,0.000,51.1,600,603,0
140,9803354,3267816,0,0,0.333,0.333,0.000,0.000,51.1,600,602,0
150,9814828,3271618,0,0,0.333,0.333,0.000,0.000,52.1,600,603,0
160,9802228,3267428,0,0,0.333,0.333,0.000,0.000,52.1,600,602,0
170,9815840,3271967,0,0,0.333,0.333,0.000,0.000,51.6,600,603,0
180,9800944,3266994,0,0,0.333,0.333,0.000,0.000,51.6,600,603,0
190,9814180,3271401,0,0,0.333,0.333,0.000,0.000,51.1,600,603,0
200,9806258,3268778,0,0,0.333,0.333,0.000,0.000,51.1,600,602,0
210,9813358,3271127,0,0,0.333,0.333,0.000,0.000,51.6,600,603,0
220,9792146,3264080,0,0,0.333,0.333,0.000,0.000,51.6,600,602,0
230,9798316,3266110,0,0,0.333,0.333,0.000,0.000,51.6,600,603,0
240,9807754,3269259,0,0,0.333,0.333,0.000,0.000,51.6,600,603,0
250,13320970,4440353,0,0,0.333,0.333,0.000,0.000,50.6,600,819,0
260,9506008,3168737,0,0,0.333,0.333,0.000,0.000,50.6,600,592,0
270,9783878,3261324,0,0,0.333,0.333,0.000,0.000,52.1,600,602,0
280,9806848,3268951,0,0,0.333,0.333,0.000,0.000,52.1,600,603,0
290,9757226,3252473,0,0,0.333,0.333,0.000,0.000,52.1,600,603,0
300,9813424,3271149,0,0,0.333,0.333,0.000,0.000,52.1,600,603,0
310,9800836,3266964,0,0,0.333,0.333,0.000,0.000,52.1,600,602,0
320,9815006,3271689,0,0,0.333,0.333,0.000,0.000,52.1,600,603,0
330,9803560,3267872,0,0,0.333,0.333,0.000,0.000,52.1,600,603,0
340,9806656,3268887,0,0,0.333,0.333,0.000,0.000,50.6,600,603,0
350,9816878,3272313,0,0,0.333,0.333,0.000,0.000,50.6,600,603,0
360,9504100,3168112,0,0,0.333,0.333,0.000,0.000,51.6,600,594,0
370,9810878,3270313,0,0,0.333,0.333,0.000,0.000,51.6,600,602,0
380,9789988,3263342,0,0,0.333,0.333,0.000,0.000,51.6,600,602,0
390,9772228,3257444,0,0,0.333,0.333,0.000,0.000,51.6,600,603,0
400,9805862,3268646,0,0,0.333,0.333,0.000,0.000,52.1,600,602,0
410,9805024,3268349,0,0,0.333,0.333,0.000,0.000,52.1,600,603,0
420,9803566,3267874,0,0,0.333,0.333,0.000,0.000,52.1,600,602,0
430,9816710,3272251,0,0,0.333,0.333,0.000,0.000,52.1,600,603,0
440,9805744,3268600,0,0,0.333,0.333,0.000,0.000,51.1,600,602,0
450,9802210,3267422,0,0,0.333,0.333,0.000,0.000,51.1,600,602,0
460,9803036,3267693,0,0,0.333,0.333,0.000,0.000,51.1,600,603,0
470,9557182,3185757,0,0,0.333,0.333,0.000,0.000,52.6,600,590,0
480,9769580,3256558,0,0,0.333,0.333,0.000,0.000,52.6,600,601,0
490,9693076,3231049,0,0,0.333,0.333,0.000,0.000,51.1,600,597,0
500,9991168,3330402,0,0,0.333,0.333,0.000,0.000,51.1,600,616,0
510,7777550,2592692,0,0,0.333,0.333,0.000,0.000,50.6,600,500,0
520,13519306,4506476,0,0,0.333,0.333,0.000,0.000,50.6,600,832,0
530,9684916,3228314,0,0,0.333,0.333,0.000,0.000,52.1,600,597,0
