Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,35502808,23668623,6,0,0.667,0.667,0.000,0.000,51.1,600,616,0
10,36325318,24217378,12,0,0.667,0.667,0.000,0.000,51.1,600,612,0
20,35606664,23730214,6,0,0.666,0.666,0.000,0.000,51.1,600,611,0
30,36228442,24152958,10,0,0.667,0.667,0.000,0.000,51.1,600,611,0
40,36307519,24205398,0,0,0.667,0.667,0.000,0.000,52.1,600,610,0
50,36160903,24107792,0,0,0.667,0.667,0.000,0.000,52.1,600,610,0
60,36378313,24253082,0,0,0.667,0.667,0.000,0.000,52.6,600,611,0
70,36378559,24252682,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
80,36324469,24216718,0,0,0.667,0.667,0.000,0.000,52.1,600,610,0
90,36376015,24251138,0,0,0.667,0.667,0.000,0.000,52.1,600,610,0
100,36322192,24215238,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
110,36372301,24248622,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
120,36177739,24118882,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
130,48302782,32202444,0,0,0.667,0.667,0.000,0.000,52.6,600,811,0
140,36305275,24203852,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
150,35599963,23732196,0,0,0.667,0.667,0.000,0.000,52.6,600,611,0
160,35212261,23475436,0,0,0.667,0.667,0.000,0.000,52.1,600,610,0
170,36311275,24208024,0,0,0.667,0.667,0.000,0.000,52.1,600,610,0
180,36275851,24184302,0,0,0.667,0.667,0.000,0.000,52.6,600,611,0
190,35982997,23989106,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
200,34546834,23032026,0,0,0.667,0.667,0.000,0.000,52.1,600,610,0
210,36349885,24233644,0,0,0.667,0.667,0.000,0.000,52.1,600,610,0
220,36234463,24156766,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
230,35736073,23824366,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
240,34352041,22901960,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
250,48427540,32285592,0,0,0.667,0.667,0.000,0.000,53.6,600,813,0
260,36380668,24254254,0,0,0.667,0.667,0.000,0.000,51.6,600,610,0
270,36255958,24171011,1,0,0.667,0.667,0.000,0.000,51.6,600,610,0
280,36374320,24249778,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
290,36340198,24227294,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
300,36386737,24258232,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
310,36382570,24255370,0,0,0.667,0.667,0.000,0.000,53.6,600,610,0
320,36334327,24223362,0,0,0.667,0.667,0.000,0.000,53.6,600,610,0
330,36358333,24239122,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
340,36327157,24218646,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
350,36378565,24252566,0,0,0.667,0.667,0.000,0.000,54.0,600,610,0
360,36370015,24247066,0,0,0.667,0.667,0.000,0.000,54.0,600,610,0
370,48530074,32353986,0,0,0.667,0.667,0.000,0.000,53.1,600,814,0
380,36374323,24250062,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
390,36167755,24112244,0,0,0.667,0.667,0.000,0.000,53.6,600,610,0
400,36121921,24081646,0,0,0.667,0.667,0.000,0.000,53.6,600,610,0
410,36250369,24167356,0,0,0.667,0.667,0.000,0.000,53.6,600,610,0
420,36378286,24252556,0,0,0.667,0.667,0.000,0.000,53.6,600,610,0
430,36267376,24178611,9,0,0.667,0.667,0.000,0.000,53.6,600,610,0
440,36329824,24220338,0,0,0.667,0.667,0.000,0.000,53.6,600,610,0
450,36364588,24243374,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
460,36332152,24222042,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
470,36375736,24250878,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
480,36371002,24247726,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
490,48405546,32262669,0,0,0.667,0.667,0.000,0.000,54.0,600,814,0
500,36378226,24252414,0,0,0.667,0.667,0.000,0.000,54.0,600,610,0
510,36301774,24201638,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
520,36370630,24247330,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
530,36344767,24230303,1,0,0.667,0.667,0.000,0.000,53.6,600,610,0
540,36381277,24255278,0,0,0.667,0.667,0.000,0.000,53.6,600,610,0
550,36371719,24248190,0,0,0.667,0.667,0.000,0.000,52.1,600,610,0
560,36324667,24216990,0,0,0.667,0.667,0.000,0.000,52.1,600,610,0
570,36363289,24242518,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
580,36338941,24226362,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
590,36017437,24011938,0,0,0.667,0.667,0.000,0.000,52.6,600,610,0
600,36272996,24182291,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
610,48503608,32334992,0,0,0.667,0.667,0.000,0.000,53.1,600,815,0
620,36374392,24250042,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
630,36342436,24228766,0,0,0.667,0.667,0.000,0.000,53.1,600,610,0
640,36375676,24250854,0,0,0.667,0.667,0.000,0.000,53.6,600,610,0
