Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,8974468,5982952,0,0,0.667,0.667,0.000,0.000,50.6,600,602,0
10,8947654,5965076,0,0,0.667,0.667,0.000,0.000,51.1,600,602,0
20,8930600,5953760,0,0,0.667,0.667,0.000,0.000,51.1,600,602,0
30,8978650,5985740,0,0,0.667,0.667,0.000,0.000,51.1,600,602,0
40,8619014,5746036,0,0,0.667,0.667,0.000,0.000,50.1,600,590,0
50,8627146,5751436,0,0,0.667,0.667,0.000,0.000,50.1,600,587,0
60,8973836,5982568,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
70,8885524,5923736,0,0,0.667,0.667,0.000,0.000,50.1,600,600,0
80,8989892,5993272,0,0,0.667,0.667,0.000,0.000,50.6,600,603,0
90,8982190,5988132,0,0,0.667,0.667,0.000,0.000,50.6,600,603,0
100,8985164,5990120,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
110,8982172,5988120,0,0,0.667,0.667,0.000,0.000,50.1,600,602,0
120,8996018,5997356,0,0,0.667,0.667,0.000,0.000,50.6,600,603,0
130,8708674,5805772,0,0,0.667,0.667,0.000,0.000,50.6,600,590,0
140,8987654,5991823,0,0,0.667,0.667,0.000,0.000,50.6,600,602,0
150,8087792,5391927,0,0,0.667,0.667,0.000,0.000,50.6,600,557,0
160,8879764,5919832,0,0,0.667,0.667,0.000,0.000,50.6,600,599,0
170,8996192,5997472,0,0,0.667,0.667,0.000,0.000,50.6,600,603,0
180,8944300,5962904,0,0,0.667,0.667,0.000,0.000,50.6,600,603,0
190,8995352,5996912,0,0,0.667,0.667,0.000,0.000,50.6,600,603,0
200,8976982,5984644,0,0,0.667,0.667,0.000,0.000,50.6,600,602,0
210,8995412,5996952,0,0,0.667,0.667,0.000,0.000,50.6,600,603,0
220,10890856,7260618,0,0,0.667,0.667,0.000,0.000,50.6,600,731,0
230,8995030,5996660,0,0,0.667,0.667,0.000,0.000,50.6,600,602,0
240,8731160,5820816,0,0,0.667,0.667,0.000,0.000,50.6,600,591,0
250,8518660,5679096,0,0,0.667,0.667,0.000,0.000,50.6,600,582,0
260,8975420,5983640,0,0,0.667,0.667,0.000,0.000,50.6,600,602,0
270,8994544,5996336,0,0,0.667,0.667,0.000,0.000,51.1,600,603,0
280,8946224,5964224,0,0,0.667,0.667,0.000,0.000,51.1,600,602,0
290,8993428,5995608,0,0,0.667,0.667,0.000,0.000,51.6,600,603,0
300,8988908,5992667,0,0,0.667,0.667,0.000,0.000,51.6,600,602,0
310,8995672,5997088,0,0,0.667,0.667,0.000,0.000,51.1,600,603,0
320,8999390,5999604,0,0,0.667,0.667,0.000,0.000,51.1,600,603,0
330,8988790,5992567,0,0,0.667,0.667,0.000,0.000,51.1,600,602,0
340,8989310,5992916,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
350,8985952,5990624,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
360,8988116,5992088,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
370,11535760,7690512,0,0,0.667,0.667,0.000,0.000,49.7,600,774,0
380,8996900,5997944,0,0,0.667,0.667,0.000,0.000,50.6,600,602,0
390,8987560,5991696,0,0,0.667,0.667,0.000,0.000,50.6,600,602,0
