Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,13865046,9243538,0,0,0.667,0.667,0.000,0.000,53.6,1000,954,0
10,14954784,9969848,0,0,0.667,0.667,0.000,0.000,52.6,1000,1003,0
20,14986402,9990964,0,0,0.667,0.667,0.000,0.000,52.6,1000,1004,0
30,14961414,9974265,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
40,14935702,9957164,0,0,0.667,0.667,0.000,0.000,52.1,1000,1004,0
50,15013494,10008980,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
60,14996194,9997498,0,0,0.667,0.667,0.000,0.000,52.6,1000,1004,0
70,15018036,10012016,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
80,15008548,10005734,0,0,0.667,0.667,0.000,0.000,51.1,1000,1005,0
90,15015012,10010028,0,0,0.667,0.667,0.000,0.000,51.1,1000,1004,0
100,15005554,10003732,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
110,14995836,9997232,0,0,0.667,0.667,0.000,0.000,52.6,1000,1004,0
120,15017080,10011394,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
130,15015342,10010236,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
140,15027880,10018594,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
150,14948178,9965444,0,0,0.667,0.667,0.000,0.000,52.1,1000,1002,0
160,15027460,10018314,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
170,15018570,10012388,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
180,15024520,10016354,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
190,15017154,10011444,0,0,0.667,0.667,0.000,0.000,53.1,1000,1004,0
200,15027868,10018586,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
210,15018876,10012604,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
220,15018550,10012396,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
230,15017262,10011494,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
240,15016792,10011224,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
250,15027972,10018634,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
260,15018340,10012262,0,0,0.667,0.667,0.000,0.000,51.6,1000,1004,0
270,15027786,10018516,0,0,0.667,0.667,0.000,0.000,51.1,1000,1005,0
280,15016618,10011122,0,0,0.667,0.667,0.000,0.000,51.1,1000,1005,0
290,15028080,10018706,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
300,15017860,10011936,0,0,0.667,0.667,0.000,0.000,52.1,1000,1004,0
310,15028380,10018906,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
320,18712962,12475344,0,0,0.667,0.667,0.000,0.000,51.6,1000,1252,0
330,15024706,10016492,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
340,14771016,9847336,0,0,0.667,0.667,0.000,0.000,51.6,1000,994,0
350,15011728,10007826,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
360,15017358,10011580,0,0,0.667,0.667,0.000,0.000,52.1,1000,1004,0
370,15027640,10018434,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
380,15013812,10009216,0,0,0.667,0.667,0.000,0.000,52.6,1000,1004,0
390,15027382,10018262,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
400,15001644,10001104,0,0,0.667,0.667,0.000,0.000,53.1,1000,1004,0
410,15027862,10018588,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
420,15017820,10011894,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
430,15028090,10018734,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
440,15018727,10012460,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
450,15027868,10018592,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
460,14695758,9797170,0,0,0.667,0.667,0.000,0.000,52.6,1000,989,0
470,15002374,10001612,0,0,0.667,0.667,0.000,0.000,52.6,1000,1004,0
480,15026772,10017834,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
490,14932456,9955006,0,0,0.667,0.667,0.000,0.000,52.1,1000,1000,0
500,15026874,10017920,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
510,15019060,10012742,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
520,15027240,10018152,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
530,15017842,10011924,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
540,15028380,10018906,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
550,15020506,10013720,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
560,15027984,10018642,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
570,15017398,10011628,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
580,15028008,10018664,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
590,18134388,12089628,0,0,0.667,0.667,0.000,0.000,52.1,1000,1214,0
600,15023740,10015834,0,0,0.667,0.667,0.000,0.000,52.1,1000,1004,0
610,15017676,10011804,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
620,15028132,10018768,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
630,14009034,9339406,0,0,0.667,0.667,0.000,0.000,52.1,1000,956,0
640,14996482,9997662,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
650,14982144,9988104,0,0,0.667,0.667,0.000,0.000,52.1,1000,1004,0
660,14976634,9984496,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
670,15011184,10007464,0,0,0.667,0.667,0.000,0.000,51.6,1000,1005,0
680,15023530,10015694,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
690,15016851,10011264,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
700,14888248,9925516,0,0,0.667,0.667,0.000,0.000,53.1,1000,997,0
710,14978280,9985528,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
720,14999062,9999404,0,0,0.667,0.667,0.000,0.000,52.6,1000,1004,0
730,14345436,9563631,0,0,0.667,0.667,0.000,0.000,52.6,1000,973,0
740,14994856,9996600,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
750,15018396,10012264,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
760,14974384,9983031,0,0,0.667,0.667,0.000,0.000,52.6,1000,1004,0
770,15023424,10015602,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
780,15015592,10010430,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
790,15028362,10018894,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
800,19096704,12731172,0,0,0.667,0.667,0.000,0.000,53.1,1000,1278,0
810,15027640,10018440,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
820,15017016,10011358,0,0,0.667,0.667,0.000,0.000,52.6,1000,1004,0
830,14456056,9637406,0,0,0.667,0.667,0.000,0.000,52.6,1000,979,0
840,15007470,10005000,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
850,15026224,10017490,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
860,14970798,9980606,0,0,0.667,0.667,0.000,0.000,53.1,1000,1004,0
870,15026830,10017894,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
880,15013806,10009218,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
890,15027994,10018676,0,0,0.667,0.667,0.000,0.000,53.1,1000,1005,0
900,15002082,10001402,0,0,0.667,0.667,0.000,0.000,53.1,1000,1004,0
910,15028066,10018718,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
920,15019290,10012868,0,0,0.667,0.667,0.000,0.000,52.6,1000,1005,0
930,14105686,9403839,0,0,0.667,0.667,0.000,0.000,52.6,1000,959,0
940,15011862,10007894,0,0,0.667,0.667,0.000,0.000,53.6,1000,1005,0
950,14998012,9998710,0,0,0.667,0.667,0.000,0.000,53.6,1000,1004,0
960,14984082,9989440,0,0,0.667,0.667,0.000,0.000,52.1,1000,1005,0
