Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,8975818,5983899,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
10,8960740,5973846,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
20,8919818,5946596,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
30,8937706,5958478,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
40,8945270,5963542,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
50,8963524,5975712,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
60,8977634,5985118,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
70,8967148,5978128,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
80,8988098,5992094,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
90,8985406,5990306,0,0,0.667,0.667,0.000,0.000,48.7,600,602,0
100,8983682,5989150,0,0,0.667,0.667,0.000,0.000,48.7,600,603,0
110,8982574,5988418,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
120,8994818,5996574,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
130,8984422,5989650,0,0,0.667,0.667,0.000,0.000,48.2,600,603,0
140,8982290,5988247,0,0,0.667,0.667,0.000,0.000,48.2,600,602,0
150,8766436,5844294,0,0,0.667,0.667,0.000,0.000,49.7,600,592,0
160,8977322,5984932,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
170,8994808,5996546,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
180,8975588,5983776,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
190,8992774,5995190,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
200,8985020,5990064,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
210,8973802,5982567,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
220,10886758,7257890,0,0,0.667,0.667,0.000,0.000,49.7,600,731,0
230,8992952,5995330,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
240,8985470,5990364,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
250,8995732,5997168,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
260,8985722,5990532,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
270,8994346,5996238,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
280,8812418,5875018,0,0,0.667,0.667,0.000,0.000,49.2,600,593,0
290,8993098,5995406,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
300,8988380,5992304,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
310,8997292,5998202,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
320,8997770,5998542,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
330,8984920,5989976,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
340,8986826,5991246,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
350,8988550,5992396,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
360,8989844,5993264,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
370,11539858,7693290,0,0,0.667,0.667,0.000,0.000,49.2,600,774,0
380,8994640,5996434,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
390,8989250,5992884,0,0,0.667,0.667,0.000,0.000,50.1,600,602,0
400,8997142,5998102,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
410,8988152,5992152,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
420,8997034,5998030,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
430,8987486,5991708,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
440,8997910,5998614,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
450,8989238,5992876,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
460,8921026,5947343,0,0,0.667,0.667,0.000,0.000,49.2,600,600,0
470,9000734,6000518,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
480,8986876,5991280,0,0,0.667,0.667,0.000,0.000,50.1,600,602,0
490,8997560,5998402,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
500,8988148,5992131,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
510,8998172,5998810,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
520,8989384,5992958,0,0,0.667,0.667,0.000,0.000,50.1,600,602,0
530,8998508,5999034,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
540,8989096,5992766,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
550,8766284,5844240,0,0,0.667,0.667,0.000,0.000,49.2,600,589,0
560,10800340,7200290,0,0,0.667,0.667,0.000,0.000,50.1,600,726,0
570,6397052,4264752,0,0,0.667,0.667,0.000,0.000,50.1,600,434,0
580,7350680,4900812,0,0,0.667,0.667,0.000,0.000,49.2,600,519,0
590,8391286,5594314,0,0,0.667,0.667,0.000,0.000,49.2,600,569,0
600,8984666,5989828,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
610,8996362,5997582,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
620,7121564,4748024,0,0,0.667,0.667,0.000,0.000,49.2,600,502,0
630,8460236,5640318,0,0,0.667,0.667,0.000,0.000,49.2,600,574,0
640,8978410,5985620,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
650,8973860,5982624,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
660,7288972,4859554,0,0,0.667,0.667,0.000,0.000,49.2,600,510,0
670,7926590,5284554,0,0,0.667,0.667,0.000,0.000,49.2,600,542,0
680,8992184,5994818,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
690,10820962,7214026,0,0,0.667,0.667,0.000,0.000,49.7,600,726,0
700,8972344,5981572,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
710,8986280,5990904,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
720,8997058,5998046,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
730,8983844,5989280,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
740,8996506,5997678,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
750,8986076,5990768,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
760,8997556,5998378,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
770,8842232,5894894,0,0,0.667,0.667,0.000,0.000,50.1,600,595,0
780,8995930,5997300,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
790,8996438,5997654,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
800,8986588,5991094,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
810,8995694,5997158,0,0,0.667,0.667,0.000,0.000,48.7,600,602,0
820,8975758,5983868,0,0,0.667,0.667,0.000,0.000,48.7,600,602,0
830,13005124,8670144,0,0,0.667,0.667,0.000,0.000,49.2,600,881,0
840,8985956,5990666,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
850,8813656,5875866,0,0,0.667,0.667,0.000,0.000,49.2,600,597,0
860,8954432,5969716,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
870,8985070,5990076,0,0,0.667,0.667,0.000,0.000,48.7,600,602,0
880,8995778,5997214,0,0,0.667,0.667,0.000,0.000,48.7,600,603,0
890,8880082,5920106,0,0,0.667,0.667,0.000,0.000,49.2,600,598,0
900,8997578,5998414,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
910,8988970,5992682,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
920,8997980,5998682,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
930,8997520,5998357,0,0,0.667,0.667,0.000,0.000,48.7,600,603,0
940,8973866,5982628,0,0,0.667,0.667,0.000,0.000,48.7,600,603,0
950,8947750,5965158,0,0,0.667,0.667,0.000,0.000,48.7,600,600,0
960,8988896,5992648,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
970,8997670,5998454,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
980,8986574,5991100,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
990,8996650,5997774,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
1000,8989130,5992804,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
1010,8952964,5968648,0,0,0.667,0.667,0.000,0.000,49.7,600,601,0
1020,8920784,5947240,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
1030,8949448,5966309,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
1040,8968484,5979040,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
1050,8923936,5949320,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
1060,8985872,5990610,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
1070,8967508,5978368,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
1080,8983766,5989206,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
1090,8987932,5991984,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
1100,8995736,5997186,0,0,0.667,0.667,0.000,0.000,48.7,600,603,0
1110,8988760,5992536,0,0,0.667,0.667,0.000,0.000,48.7,600,602,0
1120,8989328,5992914,0,0,0.667,0.667,0.000,0.000,48.7,600,603,0
1130,10675414,7116994,0,0,0.667,0.667,0.000,0.000,48.7,600,722,0
1140,8996162,5997470,0,0,0.667,0.667,0.000,0.000,50.1,600,602,0
1150,8988412,5992304,0,0,0.667,0.667,0.000,0.000,50.1,600,602,0
1160,8997860,5998602,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
1170,8974846,5983260,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
1180,8998160,5998802,0,0,0.667,0.667,0.000,0.000,49.2,600,603,0
1190,8974570,5983082,0,0,0.667,0.667,0.000,0.000,49.2,600,602,0
1200,8997632,5998450,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
1210,8989444,5992992,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
1220,8998442,5998990,0,0,0.667,0.667,0.000,0.000,48.7,600,603,0
1230,9001624,6001090,0,0,0.667,0.667,0.000,0.000,48.7,600,603,0
1240,8811614,5874482,0,0,0.667,0.667,0.000,0.000,50.1,600,593,0
1250,8994988,5996666,0,0,0.667,0.667,0.000,0.000,50.1,600,602,0
1260,8986652,5991152,0,0,0.667,0.667,0.000,0.000,50.1,600,603,0
1270,8988748,5992506,0,0,0.667,0.667,0.000,0.000,49.7,600,603,0
1280,11456626,7637802,0,0,0.667,0.667,0.000,0.000,49.7,600,769,0
1290,8996402,5997630,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
1300,8987656,5991806,0,0,0.667,0.667,0.000,0.000,49.7,600,602,0
1310,8995916,5997306,0,0,0.667,0.667,0.000,0.000,50.1,600,602,0
1320,8982700,5988502,0,0,0.667,0.667,0.000,0.000,50.1,600,602,0
