Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,24584294,8194741,0,0,0.333,0.333,0.000,0.000,54.0,1500,1506,0
10,24387572,8129200,0,0,0.333,0.333,0.000,0.000,54.0,1500,1505,0
20,24562760,8187574,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
30,24554852,8184929,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
40,24580010,8193324,0,0,0.333,0.333,0.000,0.000,52.6,1500,1507,0
50,24594866,8198271,0,0,0.333,0.333,0.000,0.000,52.6,1500,1507,0
60,24600092,8200018,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
70,24613202,8204383,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
80,24594362,8198108,0,0,0.333,0.333,0.000,0.000,53.1,1500,1507,0
90,24612152,8204033,0,0,0.333,0.333,0.000,0.000,53.1,1500,1507,0
100,24602914,8200952,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
110,24597044,8198991,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
120,24602702,8200888,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
130,24602678,8200886,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
140,24592850,8197599,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
150,24604088,8201350,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
160,24616340,8205423,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
170,24596282,8198754,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
180,24610454,8203467,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
190,24604352,8201444,0,0,0.333,0.333,0.000,0.000,53.1,1500,1507,0
200,24616276,8205395,0,0,0.333,0.333,0.000,0.000,53.1,1500,1507,0
210,24605492,8201818,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
220,24615734,8205221,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
230,24596294,8198752,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
240,24138998,8046336,0,0,0.333,0.333,0.000,0.000,53.6,1500,1482,0
250,24602534,8200832,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
260,24614360,8204769,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
270,20497394,6832633,0,0,0.333,0.333,0.000,0.000,54.5,1500,1296,0
280,24187322,8062450,0,0,0.333,0.333,0.000,0.000,54.5,1500,1486,0
290,24421730,8140564,0,0,0.333,0.333,0.000,0.000,54.5,1500,1497,0
300,24604634,8201532,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
310,20257908,6752779,0,0,0.333,0.333,0.000,0.000,54.5,1500,1282,0
320,23995286,7998451,0,0,0.333,0.333,0.000,0.000,54.5,1500,1475,0
330,24421016,8140321,0,0,0.333,0.333,0.000,0.000,54.5,1500,1496,0
340,24009950,8003315,0,0,0.333,0.333,0.000,0.000,53.1,1500,1475,0
350,20643278,6881179,0,0,0.333,0.333,0.000,0.000,53.1,1500,1306,0
360,22657182,7552449,0,0,0.333,0.333,0.000,0.000,53.6,1500,1403,0
370,24613778,8204575,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
380,24602284,8200742,0,0,0.333,0.333,0.000,0.000,55.0,1500,1507,0
390,24615032,8204993,0,0,0.333,0.333,0.000,0.000,55.0,1500,1507,0
400,24544166,8181376,0,0,0.333,0.333,0.000,0.000,54.0,1500,1505,0
410,24616562,8205503,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
420,24602780,8200914,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
430,24615872,8205273,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
440,24607370,8202444,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
450,24606272,8202078,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
460,24616622,8205517,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
470,24276506,8092184,0,0,0.333,0.333,0.000,0.000,54.5,1500,1495,0
480,24529360,8176467,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
490,24589268,8196410,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
500,24615428,8205125,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
510,24551852,8183971,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
520,24602846,8200927,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
530,31836838,10612265,0,0,0.333,0.333,0.000,0.000,54.5,1500,1950,0
540,24616634,8205523,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
550,24603914,8201298,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
560,24616690,8205533,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
570,24600368,8200110,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
580,24359924,8119957,0,0,0.333,0.333,0.000,0.000,54.0,1500,1496,0
590,24585752,8195238,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
600,24615830,8205259,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
610,24600146,8200036,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
620,24611846,8203931,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
630,24606092,8202018,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
640,24616550,8205497,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
650,24586694,8195558,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
660,24614846,8204931,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
670,24601996,8200646,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
680,24616304,8205417,0,0,0.333,0.333,0.000,0.000,55.0,1500,1507,0
690,24606350,8202104,0,0,0.333,0.333,0.000,0.000,55.0,1500,1507,0
700,24598664,8199537,0,0,0.333,0.333,0.000,0.000,55.0,1500,1506,0
710,24528512,8176153,0,0,0.333,0.333,0.000,0.000,54.0,1500,1503,0
720,24592280,8197420,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
730,24614666,8204871,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
740,24605972,8201978,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
750,24616598,8205509,0,0,0.333,0.333,0.000,0.000,55.5,1500,1507,0
760,24606140,8202040,0,0,0.333,0.333,0.000,0.000,55.5,1500,1507,0
770,24614446,8204785,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
780,24605570,8201844,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
790,24616580,8205509,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
800,24606512,8202158,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
810,24617180,8205703,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
820,24592244,8197402,0,0,0.333,0.333,0.000,0.000,53.6,1500,1508,0
830,24566324,8188757,0,0,0.333,0.333,0.000,0.000,53.6,1500,1506,0
840,24590666,8196876,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
850,24614768,8204905,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
860,24602810,8200924,0,0,0.333,0.333,0.000,0.000,55.0,1500,1507,0
870,24573412,8191118,0,0,0.333,0.333,0.000,0.000,55.0,1500,1506,0
880,24427148,8142369,0,0,0.333,0.333,0.000,0.000,54.0,1500,1498,0
890,24569396,8189786,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
900,24606560,8202169,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
910,24603866,8201276,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
920,24612902,8204283,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
930,24604214,8201398,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
940,24615224,8205051,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
950,24603116,8201032,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
960,24603776,8201241,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
970,24598900,8199608,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
980,24606548,8202161,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
990,30965194,10321717,0,0,0.333,0.333,0.000,0.000,54.5,1500,1897,0
1000,24614630,8204859,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1010,24555712,8185201,0,0,0.333,0.333,0.000,0.000,54.0,1500,1506,0
1020,24476834,8158932,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1030,24603572,8201173,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1040,24539552,8179838,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1050,24600620,8200189,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1060,24580808,8193590,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1070,24613340,8204429,0,0,0.333,0.333,0.000,0.000,55.0,1500,1507,0
1080,24587264,8195742,0,0,0.333,0.333,0.000,0.000,55.0,1500,1507,0
1090,24616610,8205513,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
1100,24607160,8202374,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
1110,24616372,8205427,0,0,0.333,0.333,0.000,0.000,55.0,1500,1507,0
1120,24605060,8201674,0,0,0.333,0.333,0.000,0.000,55.0,1500,1507,0
1130,24606242,8202068,0,0,0.333,0.333,0.000,0.000,56.0,1500,1507,0
1140,24595814,8198583,0,0,0.333,0.333,0.000,0.000,56.0,1500,1507,0
1150,24603710,8201230,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1160,24613856,8204601,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1170,24603200,8201060,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1180,24616484,8205477,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
1190,24605822,8201934,0,0,0.333,0.333,0.000,0.000,53.6,1500,1507,0
1200,24606698,8202215,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1210,24605638,8201860,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1220,24611312,8203753,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1230,24605840,8201934,0,0,0.333,0.333,0.000,0.000,54.5,1500,1507,0
1240,24616856,8205601,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
1250,24606416,8202126,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
1260,24613652,8204533,0,0,0.333,0.333,0.000,0.000,54.0,1500,1507,0
1270,24231986,8077332,0,0,0.333,0.333,0.000,0.000,54.0,1500,1494,0
